"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"字节跳动","智能客服产品经理","20k-35k","北京 ","经验1-3年","本科及以上","全职","产品设计 | 产品策划","11:27  ","六险一金，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好",,"北京-海淀区-北京市海淀区北三环西路43号中航广场","2018-08-13 14:42:01"
"地平线机器人智能驾驶业务部","实习生-应用工程师（智能驾...","4k-7k","深圳 ","经验应届毕业生","本科及以上","实习","智能硬件","10:38  ","弹性工作,实习补助,员工福利,商业保险","岗位职责：","深圳-南山区-科技园-科苑路","2018-08-13 14:42:05"
"饿了么BDI大数据部","资深算法工程师／算法专家（...","23k-46k","上海 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | NLP | 算法","2018-08-08  ","人工智能，机器学习领域大神等你一起来玩耍","职责描述：","上海-普陀区-长征-金沙江路1518弄近铁城市广场北座4楼401室","2018-08-13 14:42:09"
"天润融通","JAVA架构师-智能客服产线","30k-40k","北京 ","经验5-10年","本科及以上","全职","平台 | 后端","09:14  ","三板上市,班车接送,扁平化管理,五险一金","职责描述：","北京-大兴区-亦庄-北工大软件园","2018-08-13 14:42:13"
"云之讯语音业务部","产品经理(在线人工智能方...","12k-20k","深圳 ","经验3-5年","学历不限","全职","视频 | 产品设计 | 视频","08:55  ","B轮3亿,公司平台大,项目前景好,薪酬福利佳","岗位职责：","深圳-南山区-科技园高新南四道18号创维半导体设计大厦东座19楼","2018-08-13 14:42:17"
"Aibee产品部","产品经理（人工智能产品原...","15k-25k","北京 ","经验不限","本科及以上","全职","项目管理 | QA","2天前  ","初创公司,扁平管理","工作职责","北京-海淀区-上地-上地三街金隅嘉华大厦B座1201","2018-08-13 14:42:22"
"探迹销售部","大客户销售经理-大数据人...","10k-20k","广州 ","经验1-3年","本科及以上","全职","旅游 | 大数据 | 销售","09:39  ","平台大,科技前沿,优质团队,发展空间大","工作职责：","广州-番禺区-大学城-数字家庭研发中心一期研发大厦","2018-08-13 14:42:36"
"零壹互联大数据与人工智能部","人工智能产品经理","15k-30k","深圳 ","经验3-5年","本科及以上","全职","移动互联网","2018-08-09  ","人脸识别,视频结构化","工作职责：","深圳-龙华新区-星河领创天下二期3楼","2018-08-13 14:42:40"
"思必驰科技","NLP软件开发工程师/研究科...","30k-50k","北京 ","经验3-5年","硕士及以上","全职","架构师","2018-08-06  ","核心技术研发","NLP软件开发工程师/研究科学家 （北京研发院）","北京-海淀区-双榆树-中关村南大街6号中电信息大厦914","2018-08-13 14:42:43"
"魅瞳科技产品部","人工智能产品经理","9k-18k","武汉 ","经验3-5年","本科及以上","全职","视频 | 硬件制造","2018-08-09  ","股权激励,人工智能,精英团队,科技前沿","基本要求：","武汉-东湖新技术开发区-光谷-光谷软件园E3栋703室","2018-08-13 14:42:48"
"百度","智能平台研发工程师","18k-36k","北京 ","经验不限","本科及以上","全职","大数据 | 算法 | 数据分析","2018-08-09  ","发展平台大","工作职责","北京-海淀区-西北旺-西北旺百度科技园","2018-08-13 14:42:51"
"智能客服，智能问答","人工智能渠道经理","4k-8k","西安 ","经验3-5年","大专及以上","全职","市场拓展 | 商务拓展","2018-07-19  ","发展潜力大,新兴行业,人工智能","职位描述：","西安-高新技术产业开发区-科技二路-创新大厦","2018-08-13 14:42:57"
"育儿网中台事业部","人工智能（AI）开发工程师实...","3k-6k","南京 ","经验应届毕业生","本科及以上","实习","人工智能 | 机器学习 | 算法","2018-07-20  ","五险一金,春游秋游,节假福利,午餐补贴","技能要求","南京-玄武区-珠江路-珠江路600号谷阳大厦","2018-08-13 14:43:00"
"和而泰和而泰人工智能实验室","和而泰 419 Lab 人工智能...","20k-40k","深圳 ","经验5-10年","本科及以上","全职","产品设计","2018-08-07  ","物联网,人工智能,下午茶,团队氛围","工作职责：","深圳-南山区-科技园-圳市高新区南区深圳航天科技创新研究院D座10楼","2018-08-13 14:43:03"
"863软件","人工智能平台架构师","15k-30k","郑州 ","经验5-10年","本科及以上","全职","大数据 | 架构师","11:49  ","双休,五险一金,高薪","岗位职责","郑州-高新区-郑州市高新区翠竹街6号国家863中部软件园11号楼16楼","2018-08-13 14:43:07"
"腾讯智能平台产品部","MIG15-智能服务产品经理","18k-36k","深圳 ","经验5-10年","本科及以上","全职","电商 | 本地生活 | 电商","11:11  ","大平台,新领域,大咖多",,"深圳市市市-南山区-科技园-大族科技","2018-08-13 14:43:10"
"西普教育产品方案部","AI产品经理（人工智能）","15k-30k","北京 ","经验3-5年","本科及以上","全职","智能硬件 | 智能硬件","2018-08-08  ","上市公司,六险一金,地铁周边,弹性工作","工作职责：","北京市-海淀区-中关村-中关村互联网教育创新中心南侧1号","2018-08-13 14:43:13"
"极客邦科技InfoQ编辑部","文字编辑（AI人工智能方向）","6k-12k","北京 ","经验不限","本科及以上","全职","编辑 | 记者","08:58  ","资深团队,对接大咖,六险一金,极客文化","岗位职责：","北京-朝阳区-叶青大厦北园5层","2018-08-13 14:43:16"
"智东西内容组","人工智能编辑记者","6k-12k","北京 ","经验不限","本科及以上","全职","编辑 | 记者","09:49  ","老板大牛,上升空间,人脉积累","智东西&车东西，影响苹果、华为、高通、英特尔、大众、BBA、博世等百万科技、汽车圈人士的产业媒体，年薪10万～20万招优秀记者和科技新媒体狂热者！欢迎应届牛人。","北京-海淀区-学院路-学清路学清嘉创大厦A座1301","2018-08-13 14:43:19"
"第四范式","人工智能产品运营","18k-35k","北京 ","经验1-3年","本科及以上","全职","媒体 | 运营","14:30  ","大牛","工作职责：","北京-海淀区-上地颐泉汇A座303","2018-08-13 14:43:23"
"悠络客研发部门","算法工程师（新零售人工智...","25k-35k","上海 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | 图像处理 | 模式识别","2018-08-09  ","弹性工作,地铁沿线,福利多多,AI行业"," 岗位要求：1、研究生及以上学历，计算机视觉、模式识别、图像处理、机器学习等相关专业研究方向；2、熟悉常用的跟踪算法原理，如Meanshift、KALMAN filter、KCF，TLD等。3、精通C/C++语言及数据结构，熟悉OpenCV库。 4、具有3年以上视觉跟踪领域实际经验; 5、对新技术和创新想法充满热情; 能够快速学习并能够团队合作; 好的问题分析和解决能力; 良好的沟通技巧;职位描述：1、跟踪视觉跟踪领域最新进展，完成调研报告； 2、根据研究论文和相应源码，搭建原型完成算法评估验证； 3、根据需求，提出跟踪方案并进行实现; 4、根据评估对方案持续改进； ","上海-徐汇区-漕河泾-上海市徐汇区虹梅路1801号凯科国际大厦","2018-08-13 14:43:26"
"金蝶","人工智能AI高级产品专家 KDR","30k-50k","深圳 ","经验3-5年","本科及以上","全职","产品设计","2018-07-30  ","专业团队,技术氛围好,工作氛围好,福利多多","岗位职责：","深圳-南山区-科技园-科技南十二路二号金蝶软件园","2018-08-13 14:43:40"
"京东物流京东物流","智能网联产品经理","15k-30k","北京 ","经验3-5年","本科及以上","全职","产品设计 | 产品策划","2018-08-07  ","500强,五险一金,免费班车","工作职责：","北京-大兴区-亦庄-朝林广场A座","2018-08-13 14:43:43"
"京东集团AI平台","产品经理岗位（人工智能、机...","30k-60k","北京 ","经验5-10年","本科及以上","全职","电商 | 智能硬件 | 需求分析","2018-07-23  ","发展空间,战略规划","【岗位职责】                                                                   1、 将先进前沿的人工智能、机器学习技术，落地运用到真实的业务场景中，实现“人工智能即服务”的理念；     ","北京-朝阳区-亚运村-北辰世纪中心A座","2018-08-13 14:43:46"
"右划运维部","图像 /视频的智能算法工程师","40k-70k","北京 ","经验3-5年","硕士及以上","全职","移动互联网 | 图像处理 | 算法","1天前  ","扁平化管理,五险一金,两餐供应,帅哥美女","岗位职责 1）承担视频编解码算法优化 2）研究和优化 H.264 、H.265 、AVS 等视频编解码技术并应用于产品中 3）参与产品的技术预研、技术规划等工作岗位要求 1）硕士及以上学历2）深入掌握 VP8/VP9/AVS/H.264/H.265 等视频编解码算法的一种或者多种，具有较丰富的算法优化实践的研发经验，熟悉 ffmpeg、handbrake 等开源软件 3）具有图像处理、机器学习理论基础4）熟悉机器学习、深度学习常用算法，熟练掌握 CNN、RNN、深度增强学习等至少一种算法原理5）有视频转码、深度学习、图像识别处理等产品研发经验的优先6）具有强烈的进取心和技术钻研精神","北京-朝阳区-北京市朝阳区望京","2018-08-13 14:43:49"
"未来地图","人工智能数据工程师","15k-30k","深圳 ","经验3-5年","本科及以上","全职","大数据 | 视频 | 搜索 | 数据挖掘 | 数据分析","3天前  ","专业团队","岗位职责：","深圳-南山区-海王大厦-南园枫叶大厦15L","2018-08-13 14:43:55"
"盛景网联","人工智能业务高级经理","20k-30k","北京 ","经验3-5年","本科及以上","全职","BD | 商务拓展","2018-08-03  ","补充医疗,定期体检,带薪年假,定期团建","岗位职责：","北京-海淀区-中关村-清华科技园科技大厦B座11层","2018-08-13 14:43:58"
"思必驰科技上海交通大学人工智能研究院","超算集群并行计算研究员（...","15k-30k","苏州 ","经验1-3年","硕士及以上","全职","大数据 | 算法 | 数据挖掘","2018-08-08  ","人工智能","岗位职责：","苏州-工业园区-独墅湖-新平街388号腾飞创新园13号楼","2018-08-13 14:44:02"
"郑州蓝之海集团研发部","人工智能机器学习","4k-8k","郑州 ","经验不限","学历不限","全职","人工智能 | 机器学习 | 深度学习","10:50  ","五险一金,旅游多多,美女多多,发展空间大","什么是人工智能？什么是python？  人工智能（Artificial Intelligence），英文缩写为AI。它是研究、开发用于模拟、延伸","郑州-二七区-大学路-河南省郑州市二七区","2018-08-13 14:44:05"
"网心科技","人工智能后台开发工程师","20k-40k","深圳 ","经验3-5年","本科及以上","全职","人工智能","2018-07-17  ","大牛团队,优质项目","工作职责：","深圳-南山区-科技园-高新区高新九道9号威新软件园5号楼","2018-08-13 14:44:08"
