"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"美团点评外卖配送事业群","智能语音产品经理","25k-50k","北京 ","经验3-5年","本科及以上","全职","智能硬件 | 智能硬件","2018-08-08  ","核心团队,重点业务,团队氛围佳,发展空间大","岗位职责：1. 负责配送语音智能产品设计和优化，解决骑手、商户和用户在配送场景中的痛点，促进配送业务整体安全和效率提升2. 熟悉竞对和前沿市场情况，输出调研报告，对软、硬件结合的产品项目有独到理解，独立产出需求文档和交互原型设计3. 制定项目计划，与硬件、软件、测试团队紧密配合，协调推进产品进度，按时完成目标产出4. 对用户反馈和各优化建议定期整理并分析，提出改进方案，持续优化智能语音产品职位要求：- 对O2O行业充分理解，熟悉语音交互与技术，且与硬件提供方进行过深度合作，能综合考虑软、硬件解决方案- 电子、通信、机电等相关专业，本科以上学历，语音或智能硬件行业3年以上产品经验，熟悉软、硬件产品研发、生产和销售流程- 优秀的数据分析能力，懂得如何进行量化分析，至少熟练使用一种以上相关工具- 拥有项目管理经验，形成流程化、规范化的工作方式，能协调各方资源快速推动落地- 主动性强，能够快速学习掌握业务变化，擅长表达，经常进行跨部门沟通与合作","北京-朝阳区-望京-望京科创大厦","2018-08-13 23:03:41"
"联诺信息工程部","语音voip 工程师","6k-10k","苏州 ","经验3-5年","大专及以上","全职","人工智能 | 语音识别","2018-07-31  ","周末双休","工作内容:","苏州-工业园区-独墅湖-新平街388号腾飞创新园A2","2018-08-13 23:03:44"
"vivo","jovi语音运营助理","5k-7k","深圳 ","经验不限","大专及以上","全职","运营","3天前  ","大平台,发展前景好,同事耐撕,专人指导","岗位职责：","深圳-福田区-上梅林-上梅林步步高大楼（梅林天虹旁）","2018-08-13 23:03:47"
"网易","高级产品经理(语音助理)-...","15k-30k","杭州 ","经验3-5年","本科及以上","全职","产品设计 | 产品策划 | 用户研究","3天前  ","网易,人工智能,前沿领域,专业团队","职位描述：","杭州-滨江区-长河-网商路599号","2018-08-13 23:03:50"
"宝宝树智能硬件","语音交互产品经理","20k-40k","北京 ","经验3-5年","本科及以上","全职","产品设计 | 产品策划","2018-08-02  ","行业独角兽,大咖分享,语音识别,智能音箱","工作职责：","北京-朝阳区-博瑞大厦A座6层","2018-08-13 23:03:53"
"华馨智能客户交付中心","语音网关配置高级工程师","10k-18k","深圳 ","经验3-5年","本科及以上","全职","移动互联网 | 大数据 | IT支持 | Helpdesk | 网络 | 系统运维","2018-08-08  ","交付负责,五险一金,提供住宿","有阿里巴巴，腾讯，百度，华为，今日头条有一线丰富实践经验优先！","深圳-龙华新区-观澜-观澜街道银星科技大厦C810","2018-08-13 23:03:56"
"百度视觉技术部","计算机视觉/图像识别OCR方向","15k-30k","北京 ","经验3-5年","硕士及以上","全职","深度学习 | 模式识别 | 算法","2018-07-17  ","大平台"," ","北京-海淀区-西北旺-百度科技园","2018-08-13 23:04:01"
"RokidA-Lab","语音算法优化/DSP工程师","20K-40K","北京 ","经验3-5年","本科及以上","全职","DSP | 嵌入式","2天前  ","年底双薪,补充医疗险,期权,博士云集","工作地点：北京市海淀区","北京-海淀区-西三旗-西小口路66号东升科技园","2018-08-13 23:04:05"
"猎户星空语音产品","AI语音助手产品经理","20k-40k","北京 ","经验3-5年","本科及以上","全职","产品设计 | 产品策划","2018-08-06  ","绩效奖金,五险一金,发展空间大,餐补","职位描述：","北京-朝阳区-团结湖-北京市朝阳区工体北路甲二号盈科中心裙房办公楼1-4层","2018-08-13 23:04:20"
"欢聚时代（YY Inc）内容拓展部","产品经理（端游语音工具）","14k-28k","广州 ","经验1-3年","大专及以上","全职","社交 | 工具软件 | 客户端","2018-08-08  ","上市公司,平台广阔","岗位职责：","广州-番禺区-万博商务区万达广场B1座","2018-08-13 23:04:22"
