"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"曜科智能","CV算法工程师","20k-40k","上海 ","经验1-3年","学历不限","全职","算法 | 模式识别","1天前  ","薪资优厚,前景明朗","岗位职责： ","上海-浦东新区-张江-环科路199号1B306","2018-08-13 19:42:26"
"特斯联","物联网产品经理","10k-15k","重庆 ","经验5-10年","本科及以上","全职","视频 | 硬件制造 | 产品设计 | 视频","08:36  ","大平台,发展空间,综合能力,AIoT","1、负责智慧城市、物联网、人脸识别产品和门禁等智能化产品的市场调研、需求分析、产品机会发现、产品功能和交互设计；","重庆-渝中区-大坪-大坪英利国际中心1号50层","2018-08-13 19:42:30"
"OPPOOS中心","图像识别算法工程师","20k-40k","深圳 ","经验3-5年","本科及以上","全职","机器学习 | 深度学习 | 模式识别 | 算法","2018-08-01  ","亿级用户,高速发展,组织氛围好,给力薪酬","岗位职责:","深圳-南山区-卓越后海中心","2018-08-13 19:42:33"
"未动科技研发部","图像算法工程师","30k-50k","北京 ","经验3-5年","硕士及以上","全职","深度学习 | 图像处理 | 算法","3天前  ","股票期权,人工智能,领导好,前景行业","岗位职责：","北京-朝阳区-来广营诚盈中心C座601","2018-08-13 19:42:35"
"玖富集团AI中心","图像识别算法工程师","10k-20k","北京 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | 模式识别 | 算法","2018-08-06  ","商业保险,周末双休","工作内容：","北京-朝阳区-望京-阜通西大街望京SOHO塔三A座三层","2018-08-13 19:42:39"
"御银金融",".net高级开发工程师","18k-30k","广州 ","经验3-5年","本科及以上","全职","系统架构 | 架构师 | C#/.NET | 人脸识别","2018-08-09  ","五险一金,周末双休,年终奖金,节日福利","【岗位职责】","广州-萝岗区-畔河路易博士大厦","2018-08-13 19:42:42"
"小i机器人研究院","软件开发工程师（C++/Java）","10k-18k","上海 ","经验1-3年","本科及以上","全职","C++ | Java","2018-08-09  ","双休,人工智能","岗位职责：","上海-嘉定区-金沙江西路1555弄383号1楼","2018-08-13 19:42:45"
"存宝科技商务","商务拓展经理","8k-16k","杭州 ","经验1-3年","本科及以上","全职","视频 | BD | 商务拓展","2018-08-09  ","五险,双休,饭补","工作职责：","杭州-西湖区-西湖-文三路199号创业大厦1305室","2018-08-13 19:42:48"
"百度语音技术部","深度学习算法工程师","18k-36k","北京 ","经验不限","本科及以上","全职","移动互联网 | C++ | C | Python | 算法","2018-08-08  ","平台大,机会多,前景广,弹性工作时","工作职责","北京-海淀区-西北旺-百度科技园","2018-08-13 19:42:51"
"爱赛德科技研发部","Java开发工程师","5k-10k","杭州 ","经验1-3年","本科及以上","全职","Java","09:17  ","优厚福利待遇，氛围活跃，培训机会","  岗位职责：","杭州-余杭区-仓前-文一西路1288号海创科技中心1号楼18层","2018-08-13 19:42:54"
"优信集团","高级产品经理-AI方向","15k-25k","北京 ","经验3-5年","本科及以上","全职","汽车 | 移动互联网 | 用户研究 | 需求分析","2018-08-03  ","带薪年假,年底奖金,团队氛围,弹性时间","1. 负责交互产品设计、AI场景规划及建设，能够与人工智能相关技术结合","北京-朝阳区-望京-望京soho","2018-08-13 19:42:57"
