"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"云盾技术中心","算法工程师","30k-60k","上海 ","经验3-5年","硕士及以上","全职","数据挖掘 | NLP | 人工智能 | 机器学习","08:02  ","90团队,技术氛围好,单纯无斗争,学习型团队","算法工程师（NLP方向）","上海-闵行区-七宝-中春路7001号明谷科技园F栋705室","2018-08-13 23:38:54"
"竞技世界平台","算法工程师","30k-50k","北京 ","经验3-5年","硕士及以上","全职","机器学习 | 深度学习 | 算法 | 数据挖掘","3天前  ","奖金丰厚,旅游,职级晋升,包餐","职责描述：1，负责金融风控、用户社交关系挖掘、图像语音文本识别、知识图谱、用户特征挖掘、用户游戏技能识别等方向的机器学习课题的解决，以及实时数据分析建模； 2，70%精力用于对应领域中课题的机器学习建模和实时分析建模；3，10%精力用于“推进机器学习平台框架建设”；4，20%精力用于“快速跟进最新有效的机器学习技术（包括深度学习），并将这些技术实践到建模中”。任职要求：1. 数学、计算机专业硕士以上学历；2. • 熟练掌握Python/R/Java编程，有软件工程能力。• 熟练掌握主流大数据处理技术(hadoop、spark等)；• 精通常规机器学习技术（聚类、分类、关联、预测等等）；• 掌握深度学习几大常用算法或其改进版（CNN，LSTM，RBM等）；• 掌握主流深度学习框架（TensorFlow、caffe等）；3. • 2年以上机器学习相关工作经验；4. • 有好奇心、有创新思路、逻辑思维强；• 有很强的学习能力，对新技术持续不断的兴趣，及很强的应用实践能力。","北京-海淀区-上地-竞技世界大厦","2018-08-13 23:38:57"
"微拍堂AI部","算法攻城狮","25k-45k","杭州 ","经验5-10年","本科及以上","全职","机器学习 | 深度学习 | 计算机视觉 | 算法","3天前  ","双休旅游,六险一金,餐补全勤奖,购房计划","福利待遇:","杭州-西湖区-西溪-州文三路408号5号楼411室","2018-08-13 23:39:01"
"百度外卖研发","数据挖掘/算法工程师","20k-40k","北京 ","经验3-5年","本科及以上","全职","本地生活 | 算法 | 数据挖掘","2018-07-31  ","晋升空间大,发展空间大,薪资丰厚","工作职责：","北京-海淀区-上地-上地信息路11号","2018-08-13 23:39:06"
"百度外卖研发","数据挖掘/算法工程师","20k-40k","北京 ","经验3-5年","本科及以上","全职","本地生活 | 算法 | 数据挖掘","2018-07-31  ","晋升空间大,发展空间大,薪资丰厚","工作职责：","北京-海淀区-上地-上地信息路11号","2018-08-13 23:39:08"
"DeepLeaper技术部","算法研发工程师","15k-30k","北京 ","经验1-3年","本科及以上","全职","广告营销 | 大数据 | 机器学习 | 搜索 | 算法 | 数据挖掘","12:21  ","期权丰厚+成长空间巨大+免费午餐+弹性工作","【工作职责】：","北京-朝阳区-燕莎-US联邦公寓","2018-08-13 23:39:23"
"爱上租技术开发中心","数据挖掘/算法工程师","20k-30k","杭州 ","经验1-3年","本科及以上","全职","数据挖掘 | 算法","11:48  ","发展机会,扁平管理,技术氛围","岗位职责：","杭州-滨江区-六和路368号海创基地南楼","2018-08-13 23:39:25"
"深瞐科技算法部","算法工程师","7k-14k","武汉 ","经验不限","本科及以上","全职","深度学习 | 计算机视觉 | 算法","11:22  ","五险一金,餐话交补,年终奖金,弹性工作制","岗位职责：","武汉-东湖新技术开发区-武大科技园武大园东路航域二区B3栋1488","2018-08-13 23:39:29"
"美团点评零售事业部","算法","40k-70k","北京 ","经验3-5年","硕士及以上","全职","机器学习 | 电商","10:11  ","发展平台,技术氛围,免费班车,加班补贴","【岗位职责】1. 参与美团零售供应链体系建设，包括但不限于智能预测、模拟仿真、库存优化、智能选品、品类规划等，深入了解和挖掘业务痛点并提出可行的解决方案；2. 运用机器学习和运筹优化等相关技术，深入分析海量商品、销量、订单、促销等数据，建立预测、库存、价格等领域相关模型，包括但不限于时序模型、回归模型、计量经济模型、深度学习模型等；3. 跟进数据挖掘和机器学习相关技术的业界发展，并合理的运用到实际产品中，开发出机器学习模型及优化模型，并给出最优决策；4. 有效的和业务方、产品经理沟通优化方案，能及时根据各方反馈调整优化策略；【职位要求】1. 硕士及以上学历，计算机、数学、统计学、运筹学、机器学习等相关专业，具有扎实的统计、数据挖掘和建模基础；2.熟悉一门或多门开发语言（Python和R等），熟练掌握常用数据结构和算法；3. 熟悉常用机器学习和数据挖掘算法，包括GBDT、SVM、线性回归、逻辑斯谛回归以及神经网络等算法；4.熟悉Hadoop、Spark或Storm等分布式机器学习框架，具备实际工作经验；5. 对数据敏感，具有良好的逻辑思维能力、业务理解能力以及流畅的表达能力，积极主动性强；6. 有供应链领域的销量预测/库存优化/选品定价经验或者运筹学最优化经验者优先；7. 有机器学习或运筹优化相关领域顶级论文发表和相关的理论研究经验优先；","北京-朝阳区-望京-数码港大厦","2018-08-13 23:39:32"
"金证股份技术部","算法工程师","25k-35k","北京 ","经验5-10年","本科及以上","全职","数据挖掘 | 数据架构","09:43  ","五险一金,年度体检,年度旅游","算法工程师：","北京-西城区-月坛-月坛南街1号院金融街中心5号楼1818","2018-08-13 23:39:36"
