"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"沪江","NLP自然语言处理研发主管","60k-100k","北京 ","经验5-10年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | NLP","2018-08-09  ","上市前夜,弹性办公,周末双休","工作职责:-负责研究和开发下一代的、高自然度的面向多语言的对话模型和系统；-参与规划设计下一代智能学习系统；-负责开发和提高基础NLP模块：面向多语言的分词、词性标注、Text Normalization、命名实体识别、指代消歧、Parsing等；-负责对话过程中的领域（场景）设计及开发对应的Domain、Intent和Semantic Slot的处理模块；-负责开发并利用文本分类，聚类等算法来进行大规模的文本处理；-负责开发面向教育的知识图谱，为对话系统提供支撑；-负责上述系统的编程、测试与部署；","北京-海淀区-五道口-北京市海淀区五道口东升大厦","2018-08-13 21:22:12"
"百度度秘事业部","机器学习/自然语言处理/策...","15k-30k","北京 ","经验3-5年","本科及以上","全职","机器学习","16:35  ","发展前景 福利待遇","工作职责：","北京-海淀区-西北旺-百度科技园","2018-08-13 21:22:15"
"第四范式","自然语言处理平台研发工程师","15k-30k","北京 ","经验1年以下","本科及以上","全职","Java | 数据挖掘","14:30  ","大牛","工作职责:1.负责自然语言处理平台的设计和研发任职要求:1.计算机或相关专业重点大学本科以上学历2.具备NLP/机器学习理论和技术基础，有1年以上的相关经验3.精通Java或C++编程语言，熟练掌握至少一种脚本语言4.熟悉Linux系统原理、熟练运用Linux命令与脚本 ","北京-海淀区-上地颐泉汇A座303","2018-08-13 21:22:19"
"麦达数字技术部","NLP（自然语言处理）工程师","35k-70k","北京 ","经验3-5年","本科及以上","全职","NLP | 算法 | 数据挖掘","10:17  ","上市公司,五险一金,薪酬福利好,发展空间大","NLP(自然语言处理高级工程师）","北京-朝阳区-望京启阳路金辉大厦","2018-08-13 21:22:23"
"roobo","自然语言处理工程师","25k-50k","北京 ","经验3-5年","本科及以上","全职","NLP | 算法","10:07  ","团队nice、弹性工作、期权奖励","工作职责：","北京-东城区-朝阳门-银河soho","2018-08-13 21:22:26"
"安易信","自然语言处理中高级工程师","20k-40k","北京 ","经验3-5年","本科及以上","全职","人工智能 | NLP | 算法","09:12  ","福利多多,领导Nic,管理扁平,技术前沿","职位描述：","北京-海淀区-知春路致真大厦D座15层","2018-08-13 21:22:29"
"字节跳动","NLP算法实习生","5k-10k","北京 ","经验不限","本科及以上","实习","算法","2018-08-09  ","弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理",,"北京-海淀区-北京市海淀区知春路63号中国卫星通信大厦","2018-08-13 21:22:32"
"新浪微博新浪微博","00146-自然语言处理专家","50k-80k","北京 ","经验5-10年","硕士及以上","全职","后端","2018-07-26  ","五险一金,定期体检","岗位职责：","北京-海淀区-西北旺东路10号院西区8号楼新浪总部大厦","2018-08-13 21:22:34"
"泛微总部","自然语言处理工程师","20k-30k","上海 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | NLP","09:19  ","五险一金,免费三餐,员工旅游,生日福利","岗位要求：    ","上海-闵行区-联航路1188弄浦江智谷33号楼","2018-08-13 21:22:49"
"世纪超星北京世纪超星信息技术发展有限责任公司","自然语言处理高级研究员","20k-40k","北京 ","经验3-5年","硕士及以上","全职","大数据 | 人工智能 | 机器学习 | 算法","09:24  ","年终奖金,节日福利,带薪年假,周末双休","岗位职责：","北京-海淀区-西二旗-上地七街1号院汇众大厦","2018-08-13 21:22:52"
"Moka技术部","自然语言处理/机器学习工程师","25k-50k","北京 ","经验3-5年","本科及以上","全职","企业服务 | SAAS | Java","2018-07-30  ","五险一金,周末双休,年底奖金","Moka 是什么？","北京-海淀区-北京大学-中关村方正国际大厦1001室","2018-08-13 21:22:57"
"曜辉科技研发部","深度学习工程师-NLP方向","20k-35k","北京 ","经验1-3年","本科及以上","全职","人工智能 | 深度学习 | NLP | 算法","2天前  ","不打卡,高成长,核心成员,发展空间大","职位描述：","北京-朝阳区-来广营-望京诚盈中心C1104","2018-08-13 21:23:05"
"达观数据技术部","NLP自然语言处理工程师","15k-25k","上海 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | 搜索 | NLP","2018-08-03  ","优质项目多,高水准技术,牛人团队,期权机会","1、参与研究语义建模、自然语言理解、机器阅读、文本分类等NLP关键前沿技术的研发工作","上海-浦东新区-张江-亮秀路112号Y1座","2018-08-13 21:23:08"
"新华网数据应用中心","NLP/数据挖掘工程师","13k-18k","北京 ","经验3-5年","硕士及以上","全职","数据挖掘","09:20  ","上市国企 一流互联网媒体","岗位职责：1. 基于用户属性和行为，构建用户画像；2. 探索推荐系统不同场景下的推荐实现，改进用户体验；3. 负责NLP基础研发以及非结构化文本知识抽取、图文数据自动分类、舆情分析，事件摘要，知识图谱等；4. 智能推荐、搜索、人工智能方向的技术研发。","北京-西城区-长椿街-宣武门外西大街129号金隅大厦","2018-08-13 21:23:12"
"海知智能开发部","算法工程师-NLP","25k-50k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 深度学习 | 算法","3天前  ","创新前沿,技术大牛,弹性工作,发展空间大","海知智能开发以自然语言处理与知识图谱为核心技术的新一代语义理解平台，目前我们正在寻找在信息检索、人工智能、推荐系统、问答系统、自然语言处理、知识图谱、大规模系统设计/网络/数据存储等方面的工程师。如果您在这些方面有着丰富经验，又或者您是刚毕业不久的大学生，对这些方面有着极大的兴趣。我们期待您的加入。","北京-海淀区-北四环西路67号中关村国际创新大厦","2018-08-13 21:23:16"
"知网","自然语言处理工程师","11k-22k","北京 ","经验不限","硕士及以上","全职","NLP | 算法","16:39  ","和谐的工作氛围，打造自我能力展示的舞台","岗位职责     负责自然语言的相关算法的研发任务    海量数据的处理与挖掘    在上级的领导和监督下定期完成量化的工作要求    能独立处理和解决所负责的任务    根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务    进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量     岗位要求      1.熟悉分词，语义分析，信息抽取等自然语言处理基础算法和应用      2.熟悉分类，聚类，情感分析，关联规则挖掘，协同过滤等常用机器学习和数据挖掘算法      3.对搜索引擎有一定了解      4.熟悉python、c++至少一门语言开发，有扎实数据结构和算法基础      5.有较强的系统设计和编程能力      6.计算机科学、数学、统计等相关专业优先","北京-海淀区-西三旗-西小口路66号东升科技园北领地A2楼","2018-08-13 21:23:18"
"星汉数智研发部","自然语言处理工程师","10k-15k","长沙 ","经验不限","本科及以上","全职","软件开发","11:10  ","扁平化管理,周末双休,五险一金,年终奖","岗位要求：","长沙-开福区-芙蓉北路-车站北路649号通华天都1栋26楼","2018-08-13 21:23:21"
"Gridsum 国双","资深自然语言处理工程师","25k-50k","上海 ","经验5-10年","本科及以上","全职","NLP | 算法","10:00  ","六险一金、弹性工作、奖金丰厚、技术牛人多","工作职责：","上海-静安区-南京西路-南京西路1468号中欣大厦35、36层","2018-08-13 21:23:24"
"搜狗","智能语音-自然语言处理研究员","20k-40k","北京 ","经验1-3年","硕士及以上","全职","工具软件 | NLP | 算法 | 数据挖掘","08:58  ","公司战略重点项目，丰富的大数据","岗位说明:","北京-海淀区-中关村-中关村东路1号院清华科技园8号楼启迪科技大厦D座22层","2018-08-13 21:23:27"
"欢聚时代（YY Inc）数据运营技术部","自然语言处理工程师 (MJ00...","20k-40k","广州 ","经验1-3年","本科及以上","全职","Java","19:38  ","平台大,福利多","岗位职责：","广州-番禺区-广州市番禺区南村镇万博商务区万达商业广场北区B-1栋","2018-08-13 21:23:30"
"美团点评AI应用孵化器","自然语言处理研究员","55k-70k","北京 ","经验5-10年","本科及以上","全职","人工智能 | 机器学习 | 图像处理","15:23  ","前沿科技,人工智能,大牛云集,弹性工作","岗位职责：1.负责自然语言处理算法的研究、开发和优化；2.推动自然语言处理技术在AI应用场景中的落地；能力要求：1.熟练掌握自然语言处理领域的基础理论和方法，并对NLP有完整系统的认识；2.熟悉NLP领域当前热点和前沿技术；3.有独立研究和实验能力，具备较强的算法实现能力，熟练掌握基础编程技术;4.对创新和挑战的工作有激情，具备优秀的分析、解决问题的能力","北京-朝阳区-望京-望京国际研发园","2018-08-13 21:23:33"
"新浪网新浪财经事业部","新浪财经-高级NLP工程师","25k-40k","北京 ","经验5-10年","硕士及以上","全职","大数据 | 机器学习 | 算法","09:15  ","七险一金，年14薪，竞争力薪资，免费班车。","岗位职责：","北京-海淀区-马连洼-新浪总部大厦","2018-08-13 21:23:36"
"贝壳","NLP工程师-机器学习/文本挖掘","30k-50k","北京 ","经验1-3年","本科及以上","全职","NLP","2018-08-01  ","福利好","工作职责:从海量文本数据，事件数据中挖掘构建房产领域问答库； 对半结构数据，自然语言中进行信息抽取，包括分类，关键词提取，主题分析，黄反过滤、广告识别、情感分析、格调分级等工作； 各类通过机器学习或文本分析进行驱动的需求。任职资格:扎实的数学基础，熟悉线性代数、统计、最优化等； 对常用机器学习算法理解透彻； 熟悉hmm,crf,maxent等算法，并熟悉这些技术在nlp领域中的应用； 分词、实体识别、文本相关性、分类/聚类等方面的调研和开发工作经验； 熟练使用数据分析工具、数据建模工具； 熟悉c/c++,java,python,R及有相关工程经验的优先，有深度学习经验，使用过Caffe,TensorFlow,Theano等工具的优先，熟悉Hadoop/Hive/HBase/Spark/Storm等系统的优先，有实际成果并发表在国际顶级会议、期刊者优先。","北京-海淀区-北京市海淀区上地五街开拓路11号福道大厦","2018-08-13 21:23:39"
"泛微","自然语言处理nlp工程师","20k-40k","上海 ","经验1-3年","硕士及以上","全职","大数据 | 人工智能 | NLP | 算法","09:55  ","半年调薪,主板上市,平台大,稳定","职位描述： ","上海-闵行区-上海市闵行区联航路1188号33号楼泛微软件大厦","2018-08-13 21:23:54"
"信号旗人工智能","自然语言处理","15k-30k","上海 ","经验1-3年","本科及以上","全职","NLP","14:26  ","股票期权,快速晋升,弹性工作,各类补贴","1.负责特定领域的数据提取，为业务提供关键数据。","上海-浦东新区-张江-纳贤路800号8楼A1","2018-08-13 21:23:58"
