"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"一起科技AI","深度学习算法工程师（技术）","30k-60k","北京 ","经验3-5年","本科及以上","全职","深度学习","3天前  ","独角兽,待遇好",,"北京-朝阳区-望京-望京绿地中心B座","2018-08-13 17:14:25"
"上海深视科技","深度学习算法工程师（图像）","20k-40k","上海 ","经验1-3年","硕士及以上","全职","人工智能 | 图像处理 | 计算机视觉","3天前  ","股权,氛围好,团队牛","岗位职责：","上海-闵行区-东川路555号2号楼","2018-08-13 17:14:31"
"零壹互联","深度学习算法工程师","15k-30k","深圳 ","经验3-5年","本科及以上","全职","视频 | 人工智能 | 机器学习 | 深度学习 | 算法","2018-08-09  ","深度学习,人工智能","1. 负责基于深度学习的图像处理相关算法的研究和实现","深圳-龙华新区-星河领创天下二期3楼","2018-08-13 17:14:34"
"麦子科技","算法工程师（人工智能/深度...","20k-25k","南京 ","经验1-3年","本科及以上","全职","算法 | 数据挖掘","3天前  ","五险一金,年底双薪,成长空间","岗位职责：","南京-栖霞区-天马路9号晟万基科技产业园2栋2楼","2018-08-13 17:14:37"
"Obsbot寻影算法研发中心","深度学习算法工程师","12k-16k","杭州 ","经验应届毕业生","本科及以上","实习","机器学习 | 深度学习 | 模式识别 | 算法","2018-08-09  ","风口浪尖,五险一金,高额奖金,期权奖励","岗位描述 ","杭州-西湖区-三墩-紫金众创小镇，E2幢1409","2018-08-13 17:14:40"
"eutroeye研发部","深度学习算法工程师","15k-30k","上海 ","经验1-3年","本科及以上","全职","机器学习 | 深度学习 | 图像处理 | 算法","2018-08-07  ","五险一金,绩效奖金,13薪","工作内容：","上海-徐汇区-田林-桂平路680号33幢425室","2018-08-13 17:14:43"
"猎户星空语音技术","深度学习算法工程师","25k-50k","北京 ","经验不限","本科及以上","全职","硬件制造 | 人工智能 | 机器学习 | 深度学习 | 算法","2018-07-31  ","带薪年假,绩效奖金,五险一金,发展空间大","岗位职责：","北京-朝阳区-团结湖-北京市朝阳区工体北路甲二号盈科中心裙房办公楼1-4层","2018-08-13 17:14:49"
"哈哈零兽AI部","深度学习图像算法工程师","30k-50k","深圳 ","经验3-5年","本科及以上","全职","深度学习 | 图像处理","14:02  ","创业公司,空间大","岗位职责：","深圳-南山区-大冲-桑达科技大厦601","2018-08-13 17:14:52"
"富唐国际开发者中心技术部","视觉/深度学习算法","10k-20k","武汉 ","经验5-10年","本科及以上","全职","人工智能 | 机器学习 | 深度学习","2018-08-04  ","五险一金,绩效奖金,年终分红,股票期权","岗位职责：1. 视觉/机器学习相关算法的调研和实现；2. 深度学习网络的优化和手机端应用；3. 和产品进行对接。任职要求：1. 本科或以上学历，计算机/数学相关专业；2. 良好的编程基础，对C/C++有一定程度的掌握；3. 熟悉深度学习开发框架，如Caffe/Caffe2，TensorFlow等；4. 参加过视觉/机器学习比赛并有不错的成绩，或者独立完成过相关项目是加分项；5. 对新技术保持追踪和了解，能够分析不同技术的优缺点和适用范围；6. 良好的英文文献阅读能力，能快速实现技术原型。","武汉-武昌区-中北路-汉街总部国际B座3701室","2018-08-13 17:14:55"
"名片全能王","算法（深度学习）实习生","5k-8k","上海 ","经验应届毕业生","本科及以上","实习","机器学习 | 深度学习 | 算法","09:13  ","大牛云集","职位描述：","上海-静安区-万荣路1256、1258号云立方A座11、12层","2018-08-13 17:14:59"
"上元教育集团证券投资部","算法工程师（深度学习）","22k-35k","上海 ","经验3-5年","硕士及以上","全职","深度学习 | 计算机视觉 | 图像处理 | 模式识别","2018-08-09  ","大平台,发展好,薪资高","岗位职责：1、利用证券市场数据进行数据处理、数据分析、模型设计、算法开发；2、根据业务需求进行数学建模，设计并开发高效算法，并对模型及算法进行验证和实现；3、应用各种深度学习技术进行相关视觉算法的前沿技术研发及相关产品实现落地；4、关注深度学习相关算法的前沿技术，并结合业务情况进行新算法技术引进；任职要求:1、全日制硕士及以上学历，计算机视觉，图像处理，机器学习，模式识别等相关专业；2、精通caffe，pytorch，mxnet，tensorflow等任意一种深度学习开源框架者优先；4、熟练掌握机器学习\深度学习\模式识别\语义分析等一个或多个方向的建模和算法实现；5、熟练掌握c/c++/python/matlab语言及常用数据结构算法，动手能力强，有较强的算法分析及实现能力；6、工作勤奋踏实，具备高度的责任心、优秀沟通能力及团队精神；7、能够阅读英文技术文档及论文，具有良好的自学能力，可以快速学习和掌握新的方法和技术。","上海-浦东新区-陆家嘴-保利广场E座","2018-08-13 17:15:02"
"虹软研发","深度学习算法工程师","15k-30k","杭州 ","经验1年以下","硕士及以上","全职","机器学习 | 深度学习 | 模式识别","2018-08-09  ","优秀团队,完善福利","岗位职责：","杭州-西湖区-文一路-西斗门路3号，天堂软件园A栋23F","2018-08-13 17:15:05"
"平安科技","计算机视觉/深度学习算法...","18k-30k","深圳 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | 计算机视觉 | 算法","16:02  ","计算机视觉","计算机视觉/深度学习算法工程师 ","深圳-福田区-八卦岭平安大厦","2018-08-13 17:15:20"
"Obsbot寻影研发部","深度学习算法工程师","20k-40k","深圳 ","经验不限","本科及以上","全职","人工智能 | 深度学习 | 计算机视觉 | 模式识别","2018-08-09  ","技术前沿,景区办公,期权激励,发展潜力","岗位描述 ","深圳-南山区-前海-卓越前海壹号8号楼1407","2018-08-13 17:15:23"
"登虹研发","深度学习算法工程师","15k-30k","杭州 ","经验3-5年","本科及以上","全职","视频 | 深度学习 | 图像处理 | 模式识别 | 算法","2018-08-09  ","周末双休,餐补,氛围很赞","岗位职责： 机器学习算法研究（人体姿态识别、人脸识别、手势识别、物体检测、物体识别分割等。 岗位要求： 1、 硕士及以上学历，图像处理、机器学习、模式识别等相关专业； 2、 社招需要2年以上机器学习项目研究经验； 3、熟悉C/C++， python，熟悉深度学习框架（pytorch/mxnet/tensorflow/caffe/caffe2）； 4、熟悉CNN/RNN/LSTM的优先； 5.有嵌入式芯片平台视频算法开发经验者优先 6、工作认真负责，学习能力较强，有熟练的英文文献资料阅读能力，能快速重现论文中的算法； 7、有良好的团队协作能力，能够独立思考，善于创新，针对问题提出有效解决方案。","杭州-西湖区-西溪-天堂软件园A幢18层","2018-08-13 17:15:26"
"模识科技技术研究院","深度学习算法实习生","8k-10k","北京 ","经验不限","硕士及以上","实习","人工智能 | 深度学习 | 算法","16:09  ","算法,自动化,计算机"," 岗位职责：","北京-海淀区-中关村-北京中关村皇冠假日酒店写字楼1002—1003室","2018-08-13 17:15:29"
"陌陌技术部","深度学习算法实习生","3k-6k","北京 ","经验不限","本科及以上","实习","机器学习 | 深度学习 | 算法","11:52  ","餐补交通补,免费下午茶,技术氛围浓,平台提升大","岗位职责","北京-朝阳区-望京-阜通东大街1号望京Soho","2018-08-13 17:15:33"
"中德宏泰研发部","深度学习算法工程师","10k-15k","成都 ","经验不限","本科及以上","全职","深度学习","2018-08-08  ","优秀团队,员工旅游,带薪年假","岗位职责：","成都-高新区-天府大道中段东方希望天祥广场530号A栋30楼3005","2018-08-13 17:15:36"
"拼多多研发部","深度学习算法工程师","20k-40k","上海 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","2018-08-08  ","平台好,大牛多,薪资待遇佳","岗位职责：","上海-长宁区-娄山关路533号金虹桥国际中心","2018-08-13 17:15:39"
"推想科技先进研究院","深度学习算法研究员（算法岗）","15k-30k","北京 ","经验1-3年","硕士及以上","全职","医疗健康 | 大数据 | 深度学习 | 图像处理 | 算法","2018-08-07  ","福利好,弹性工作,免费小零食","岗位职责：","北京-朝阳区-四惠-远洋国际中心C座2101","2018-08-13 17:15:43"
"信息咨询研发部门","深度学习算法工程师","20K-40K","上海 ","经验不限","硕士及以上","全职","人工智能 | 机器学习 | 计算机视觉 | 图像处理","2018-08-07  ","自动驾驶,深度学习","机器学习/深度学习算法工程师","北京-房山区-长阳-国权北路","2018-08-13 17:15:46"
