"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"专注海外置业运营部","平台运营助理","3k-5k","太原 ","经验不限","大专及以上","全职","新媒体运营 | 内容运营 | 微博运营 | 粉丝运营","17:53  ","五险一金,周末双休,多次调薪,不加班","工作内容：","太原-小店区-坞城-许坦东街锦东国际商务中心A座23层","2018-08-13 18:05:12"
"梅花网","大客户销售","7k-14k","上海 ","经验1-3年","大专及以上","全职","客户经理","17:53  ","绩效奖金、五险一金、节日福利","岗位职责： 1、接触建立与完善客户资源的沟通与跟进，保持持续增长的合作关系； 2、主动挖掘客户需求，根据公司媒体资源为客户提供最优的解决方案;并能独立完成公司规定的销售任务； 3、负责客户维护、谈判，建立长期、稳定的合作关系，并对客户做不断的开发工作； 4、维护和提高自有媒体的市场竞争力，不断提高自己的销售技巧和工作能力，与公司销售策略同步； 5、多接触外资企业品牌市场与公关职能人员。  任职要求： 1、大专（含）以上学历，一年以上销售工作经验，如有互联网广告销售、数据库销售、整合营销销售经验，或对广告或媒体市场有一定了解者优先，英文读写能力佳者优先； 2、积极主动，主观能动强，良好的理解能力与表达能力； 3、具有良好的沟通能力和销售技巧，善于运用各种方式发展、提升与老客户的合作伙伴关系； 4、能够根据不同客户及不同项目为客户定制各种针对性的提案，PPT和书面表达能力良好； 5、善于思考，有极强的学习能力和自我提升能力； 6、具有良好的团队合作精神； 7、熟悉外资企业市场部与公关职能工作性质。 ","-中山西路1279弄6号国峰科技大厦6楼","2018-08-13 18:05:15"
"天衍电商财务部","电商财务","7k-9k","佛山 ","经验3-5年","大专及以上","全职","往来 | 总账 | 税务 | 应收应付","17:53  ","电商财务","岗位职责：","佛山-顺德区-大良新城区国泰南路保利金融中心4座","2018-08-13 18:05:18"
"时代科技实施部","java web开发工程师","7k-13k","广州 ","经验1-3年","本科及以上","全职","互联网金融 | 银行","17:52  ","每周下午茶,五险一金,周末双休,晋升空间","岗位职责：","广州-天河区-天河软件园","2018-08-13 18:05:21"
"华砺智行软件产品部","资深Java开发工程师","15k-20k","武汉 ","经验5-10年","本科及以上","全职","大数据 | 软件开发 | Java","17:52  ","五险一金,年终奖金,年终绩效,员工旅游","职位描述：","武汉-武汉经济技术开发区-沌口-神龙大道18号太子湖文化数字创意产业园创谷启动区B101号","2018-08-13 18:05:25"
"智友互动","市场执行实习生","3k-4k","北京 ","经验不限","本科及以上","实习","电商","17:52  ","饭补,福利多多","工作职责：","北京-朝阳区-亚运村-金泉港3座505谱时","2018-08-13 18:05:28"
"好未来ABCtime在线美国英语课堂","在线少儿英语教师","12k-22k","深圳 ","经验1-3年","本科及以上","全职","教育","17:52  ","五险一金,环境好,周末双休","岗位职责：1、通过在线系统进行线上授课，将孩子的学习情况与家长保持积极的沟通，并给与耐心的指导；2、通过智能学习系统（周学习内容发布，家庭活动反馈，阅读任务指导）、与家长的日常沟通等方式，追踪孩子的学习效果，保证孩子的持续学习；3、详细了解家长对英语教育的理解和需求，帮助他们纠正错误的教育观念和教育方法，树立正确的教育观念；4、对学员的学习结果负责，解决学员在英语学习中的疑难，并提供专业的咨询和学习建议；任职要求：1、本科或以上学历（英语/教育专业或有教师/班主任工作经验者优先）；2、口语标准、流利，有较强的沟通能力和数据分析能力；3、热爱孩子和教育，向往教培行业；4、乐于接受全新的教育理念和教学模式，有抗压力和思考力。","深圳-南山区-深圳湾-中科纳能大厦A701","2018-08-13 18:05:31"
"广州比邻名医","Web前端研发","9k-12k","广州 ","经验1-3年","本科及以上","全职","前端开发","17:52  ","五险一金,带薪年假","岗位职责：","广州-天河区-兴民路222号之三天盈广场东塔1104","2018-08-13 18:05:34"
"配音秀","内容审核专员","3k-5k","杭州 ","经验1-3年","学历不限","全职","内容运营","17:52  ","双休,餐补,发展空间大,五险一金","岗位职责：","杭州-西湖区-三墩-古墩路701号紫金广场A座903室","2018-08-13 18:05:37"
"茜子服饰","商品运营专员","5k-7k","深圳 ","经验3-5年","大专及以上","全职","运营 | 新零售","17:52  ","周末双休,五险一金,年终奖金,带薪年假","岗位职责","深圳-福田区-金田路现代国际大厦1803-1808室","2018-08-13 18:05:41"
"阿里影业剧集中心","编剧","35k-40k","北京 ","经验5-10年","本科及以上","全职","视频","17:52  ","平台大,福利多,晋升机会,股权","职位描述：","北京-朝阳区-亮马桥-天泽路润世中心","2018-08-13 18:05:47"
