company,jobrequest,salary,tags,title
北京捷通华声科技股份有限公司,"岗位职责：,1、负责灵云智能语义相关核心技术算法研究与引擎产品化等开发工作；,2、利用Deep Learning和NLP技术完成文本语义分析、用户意图理解、文本挖掘等模块的研发，将研发成果应用到机器人系统中，提升准确率；,3、有效带领技术团队，建立并完善公司各项研发规范及流程；,4、培养下属成员，提高团队整体专业技能。,任职要求：,  1.学历要求：,    -毕业统招硕士以上学历，博士优先；,   2.能力要求：,    -至少熟悉智能问答/数据分析/输入法/语言模型/机器翻译等中的一项相关算法及实现原理，有相关五年以上工作经验或者实验室经验；,    -有LR/GMM/SVM/CRF/MaxEnt/HMM/LDA/DNN/CNN/RNN的研究背景，熟练掌握CUDA编程；,    -熟练掌握Python/Matlab/C++，能够无障碍阅读英文论文；,    -能够在TensorFlow/Torch/Theano/Keras/Mxnet/Currennt上开展实验；,    -能够对接智能问答/数据分析/输入法/语言模型/机器翻译算法研究成果，能够对智能问答/数据分析/输入法/语言模型/机器翻译算法进行工程实现和优化；,    -对算法有深入了解，对工程优化有丰富经验；,    -有团队管理经验。",3-6万/月,北京  |  5-7年经验  |  硕士  |  招若干人  |  08-14发布,自然语言处理算法专家（NLP）
北京捷通华声科技股份有限公司厦门办事处,"岗位职责：,1.参与产品的算法设计、开发及编码的实现；,2.负责产品引擎化的测试、设计及开发；,3.跟踪与落地前沿技术和学术论文应用于产品中，包括深度学习、自然语言处理、机器翻译、信息抽取、语言模型、语义理解等NLP前沿技术；,4.熟练使用与掌握至少一种深度学习的工具包比如tensorflow。, ,任职要求：,1.学历要求：, -统招硕士及以上学历。,2.工作经验：, -1年以上Python、或C/C++开发工作经验，熟练使用至少一种深度学习工具包；, -具备较好的数据结构与算法基础；, -数学基础扎实，逻辑思维能力突出。,3.能力要求：, -具有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；, -具备较好的学习能力、问题分析能力，可以独立调试解决问题；, -良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验。,4.素质要求：, -工作踏实，态度积极，能够承受工作压力，能适应规范项目管理；, -责任心强，正直诚实，值得信赖。,5.优先考虑：, -有一定的语言学基础，并且有相关产品或案例经历；, -能独立完成系统结构的设计者优先。",1.5-3万/月,厦门  |  1年经验  |  硕士  |  招3人  |  08-14发布,自然语言处理（深度学习/NLP）
上海百业并购信息技术股份有限公司,,8-18万/年,上海-浦东新区  |  1年经验  |  本科  |  招2人  |  08-14发布,NLP 自然语言处理工程师
博拉网络股份有限公司,"1、负责项目中的文本分析需求,2、分词、聚类、分类、情感分析等算法的优化。,3、语料库，词库，规则库等的创建与维护。,4、文本分析工具的开发和维护。,任职资格:,1、本科及以上学历，2年以上相关工作经验。,2、至少掌握java、python其中一门编程语言。,3、有分词标注，情感分析，句法分析等自然语言处理相关研究经验。,4、有文本分析相关项目经验者优先。",0.6-1.2万/月,重庆  |  无工作经验  |  招1人  |  08-14发布,数据挖掘（NLP方向）
上海大智慧股份有限公司,"1. 结合业务需求，通过NLP、统计机器学习等算法，完成产品的研发；,2. 跟踪前沿技术发展方向，并能结合应用场景，推动产品技术升级。,职位要求：,1. 计算机、数学相关专业本科以上学历，2年以上相关工作经验；,2、熟悉常用搜索引擎如solr，elastic  Search和自然语言处理相关算法；,3、熟悉文本挖掘算法，如文本分类、聚类、语言模型、语义分析、情感分析等NLP相关算法；,4、扎实的编程能力，熟悉Python/Java及常用的机器学习算法工具；,5、具备良好的逻辑分析能力，思维活跃，对解决具有挑战性问题充满激情；,6. 985/211名校硕士，有大型互联网推荐/搜索/广告算法开发优化经验者优先。",1.5-2.5万/月,上海-浦东新区  |  2年经验  |  本科  |  招1人  |  08-14发布,NLP搜索算法工程师
深圳百诺国际整合医疗有限公司,"1、利用统计、NLP、机器学习等相关知识对题目、结构化和非结构化的内容进行梳理、归类、挖掘，对其中蕴含的知识点进行分析, 构建不同科目学习的知识图谱,2、设计根据规则的动态学习内容生成算法,3、分析用户的知识点掌握情况，设计合理的出题规则,4、关注业务，关注数据，围绕业务目标，发挥自我创造力和生产力来实现业务需求,5、带领，培养初级,中级工程师按时按质完成任务, 进行软件设计、代码的审核,6、对技术、产品、自己都要有高追求和高要求,1、机器学习、NLP、教育技术信息/测量、统计学等领域的硕士或博士,2、3年以上自然语言处理相关研发经验,3、熟悉自然语言处理领域和机器学习的基础理论和方法，扎实的技术基础，并有相关研究或项目经验,4、精通NLP领域当前热点和前沿技术,5、精通一种脚本语言（Python, Shell, Ruby等），动手能力强，对数据结构和算法设计有较深理解,6、优秀的程序设计、编写能力; 能把良好的设计理念，思想落实到项目实践中,7、学习能力强，能独立解决问题；善于学习总结，培养新人和团队,8、工作努力，头脑灵活，责任心强；良好的团队合作精神和沟通协调能力,9、致力于成为一名更好的技术专家，热衷于技术创新和解决难题，用新技术推动业务发展,1、提供 Github 账号、技术 Blog 链接等优先,2、有educational data mining 或 analytics的相关经验,3、有分词系统开发，文本分类系统构建，词典建设， 抽取系统构建，机器翻译项目经验的算法工程师优先考虑",1.5-3.5万/月,深圳-南山区  |  5-7年经验  |  本科  |  招若干人  |  08-14发布,资深NLP自然语言处理算法工程师
深圳市华宇讯科技有限公司,"职位描述：,1.分析处理海量受户文本数据；,2.文本分类、聚类算法实现和调优；,3.文本主题确定、中心词抽取算法实现和调优；,4.热点新闻事件发现、事件timeline分析。,任职要求：,1.计算机专业，自然语言处理/机器学习方向，硕士毕业，工作1年以上；,2.有linux环境下的编程经验，精通java或者c++，熟悉python/shell；,3.熟悉hadoop、spark等分布式平台；,4.能够独立思考，面对实际问题，能够灵活运用自然语言处理和机器学习知识，独立提出可行的解决方案、或优化策略。",1.5-5万/月,深圳  |  2年经验  |  硕士  |  招2人  |  08-14发布,NLP工程师
西安易特科信息技术有限公司,"岗位职责：,1、运用自然语言处理相关技术与算法，设计医疗智能知识图谱、辅助诊疗等人工智能领域；,2、使用NLP算法设计模型、改进与开发实现；,3、使用机器学习算法、技术解决相关问题。,任职要求：,1. 硕士及以上学历，计算机专业，自然语言处理方向；,2. 熟悉自然语言处理相关任务（分词、词性标注、命名实体识别、语义消歧，依存句法分析、语义角色标注等）的设计和实现；,3. 熟悉常见机器学习算法：分类、聚类、决策树、贝叶斯、SVM、HMM、最大熵等；,4. 熟悉深度学习相关技术：Word2Vec、Doc2Vec、CNN、LSTM、BRNN、Attention模型，熟练使用TensorFlow者优先；,5. 熟悉本体知识库的构建，熟悉本体构建工具（如protege）的使用优先；,6. 熟练使用Python/C++/C#至少一种语言。,福利：,除法定带薪年假之外，优秀员工最多可享用8天的带薪休假、旅游奖励；,传统节日礼品或者过节费；,齐全的社保、公积金；,学习型组织，丰富的培训机会；,优雅的工作环境，科学的管理机制；,全员持股、入司转正后进行配股；,富有吸引力的激励机制、一年多次加薪、实现理想的企业舞台。",1.5-3万/月,西安-高新技术产业开发区  |  无工作经验  |  硕士  |  招1人  |  08-14发布,自然语言处理NLP工程师
广州佰聆数据股份有限公司,"岗位职责：,1、负责NLP基础工作研究（包括命名实体识别、词性标注、语义分析、情感分析、文本摘要、主题发现、文本相似度等）；,2、构建电网客服行业相关知识图谱；,3、参与NLP相关产品系统，如智能问答和智能聊天机器人的设计与研发；,4、关注行业前沿技术，并对产品提出改进建议，对现有技术方案进行演进。,专业素质要求:,1、有较强的算法基础，对NLP方向有较深的认识；熟悉NLP的基础理论与算法或机器学习（深度学习）算法，有文本分类、序列标注等相关项目经验，有文本挖掘特别是中文信息处理相关经验；,2、有智能问答、语义理解、知识图谱等相关方向实战经验的优先；,3、熟练掌握自然语言处理领域的基础理论和方法，并有2年以上的相关研究或项目经验；,4、具备良好的逻辑思维；,5、具备良好的文档编写能力，包括PPT编制、技术报告编制等;,6、熟悉电网营销业务或者做过其他行业客服智能问答项目的优先考虑。",1-1.5万/月,广州-黄埔区  |  3-4年经验  |  本科  |  招1人  |  08-14发布,自然语言处理(NLP)工程师
深圳齐牛互联网金融服务有限公司,,1.5-3万/月,深圳-南山区  |  无工作经验  |  本科  |  招1人  |  08-09发布,自然语言处理NLP高级工程师
