company,jobrequest,salary,tags,title
威盛电子（上海）有限公司,"·Working on the training of acoustic model, researching and improvement of speech decoding algorithm,·Tracing the latest technologies of speech recognition, and apply to projects,·负责语音识别声学模型的训练，Decoding相关算法的研究和优化,·跟踪语音识别***，并运用于实际项目中,岗位要求:,·Master C++ programming,·Be familiar with the theory of speech recognition, such as HMM，GMM model, Viterbi algorithm, WFST, DNN model.,·Be familiar with Kaldi platform, experienced in the training of acoustic model,·Good ability in reading paper,·扎实的C++编程功底,·熟悉语音识别相关原理，如HMM模型，GMM模型，Viterbi算法，WFST，DNN模型,·熟悉Kaldi开源平台，有声学模型训练相关经验,·具有较好的论文阅读能力",1.5-2万/月,上海-浦东新区  |  1年经验  |  硕士  |  招3人  |  08-14发布,语音识别算法工程师
滴滴出行,,2-2.5万/月,北京-海淀区  |  3-4年经验  |  本科  |  招1人  |  08-14发布,语音识别（语言模型）工程师(J180703008)(职位编号：J180703008)
北京声智科技有限公司,"职位描述：,岗位职责：,1、负责语音识别相关算法的研究与开发，如声学模型训练、语言模型训练、解码器；,2、搭建唤醒引擎及语音识别引擎；,3、配合产品部门完成一些接口工作。,           ,任职资格：,1、教育背景：信号处理、计算机、电子信息、自动化等相关专业硕士以上学历；,2、算法研究背景经验，对语音识别有较深入理解；声学建模、语言建模、多语种识别等一个或多个方面有较深入研究；有实用语音识别系统开发经验者尤佳，有Linux操作系统下C/C++及脚本语言编程经验者尤佳；,3、对语音识别的深入理解，具有模式识别专业知识，精通语音识别核心算法；了解国内外语音识别技术的发展状况；,4、熟悉C/C++语言编程，有较强的自学习能力和团队协作精神。,薪资福利：,1、有机会获得持续股票期权激励，为未来留有充足的空间。,2、公司扁平化管理，互联网弹性工作制，气氛融洽，感受创业团队的速度与激情；,3、巨大的成长空间，有充足的机会接触到全球最新的智能硬件产品以及深入了解行业走向；,4、公司包午餐，有加班餐，零食饮料，带薪年假，健身活动、定期体检，节日福利，生日福利，节假日福利等； ",40-80万/年,北京-海淀区  |  无工作经验  |  招2人  |  08-14发布,语音识别算法工程师
竹间智能科技（上海）有限公司,,30-80万/年,上海  |  无工作经验  |  招若干人  |  08-14发布,语音识别工程师
武汉水象科技有限公司,"职责描述：,1、负责语音识别相关算法的研究与开发，包括声学模型、语言模型的训练等；,2、负责唤醒引擎、语音识别引擎的开发、调优工作；,3、配合产品部门完成一些接口工作。,职位要求：,1、数学、信号处理、计算机、电子信息等相关专业；,2、 3年以上语音识别相关算法研究 （包括硕博期间的研究工作）；,3、 技术要求：,（1）熟悉开源工具（如Kaldi，CMUSphinx），有大规模语音系统训练经验；,（2）有算法研究背景经验，对语音识别有较深入理解, 熟悉相关算法（如DNN，GMM）；,（3）在信号处理、声学建模、语言建模、深度学习等领域有较深入研究。",1.5-2.5万/月,武汉-洪山区  |  3-4年经验  |  本科  |  招1人  |  08-13发布,语音识别算法工程师
深圳达闼科技控股有限公司,"负责公司语音识别领域的相关研究，实现人工智能相关的产品；,任职要求：,多年语音识别相关领域的研究或工作经验；,国内外知名学校硕士及以上学历毕业；,在国内外知名会议上发表文章或论文者优先；,具有带领团队经验者优先；,熟悉自然语言、机器学习等相关内容者优先。",3-6万/月,北京-朝阳区  |  5-7年经验  |  硕士  |  招2人  |  08-14发布,语音识别算法工程师
深圳无觅科技有限公司,,2-4万/月,深圳-南山区  |  无工作经验  |  本科  |  招若干人  |  08-13发布,语音识别工程师
辽宁奇辉电子系统工程有限公司,"1、从事语音识别算法的研究与语音识别系统的开发，负责声学模型、语言模型、解码器相关工作；,2、将ASR技术对接公司产品，负责语音识别引擎开发；,1、拥有计算机、通信、电子工程、信息工程、自动控制等领域的硕士或博士学位；,2、熟悉语言信号处理，包括降噪，VAD，音频特征提取等；,3、熟悉语音识别技术，包括GMM、HMM、DNN等常用技术；,4、良好的编程能力，精通C/C++，熟悉Python语言；,5、有高质量的研发成果（文章、专利、产品等）者优先；,6、在深度学习、强度学习、迁移学习等方面有经验者优先；,                                        ,7、熟悉开源工具（如Kaldi，CMUSphinx等），有大规模语音系统训练经验者优先。",0.7-1.5万/月,大连-高新园区  |  无工作经验  |  硕士  |  招1人  |  08-13发布,语音识别工程师
上海交大慧谷信息产业股份有限公司,"1、技术人员职位，在上级的领导和监督下定期完成量化的工作要求； ,2、能独立处理和解决所负责的工作任务； ,3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务； ,4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量； ,5、进行编制项目文档和质量记录的工作； ,6、维护软件使之保持可用性和稳定性。,任职资格,1.全日制大学专科及以上学历，计算机、软件工程及相关专业毕业；,2.3年以上.Net开发经验；,3.熟悉vb.Net、ASP.Net、C#、WinForm、WPF等技术；,4.语音识别客户端或相关客户端开发经历者优先；,5.至少熟悉一个ORM框架;,6.熟悉MS-SQL或其他主流数据库，能熟练使用T-SQL语句，熟练掌握存储过程的编写；,7.熟悉软件开发流程，具备良好的编码风格；,8.良好的沟通能力、较强的团队协作精神和责任心；,9.了解web相关开发技术,熟悉JavaScript,WebForm等更佳；, ",1-1.5万/月,上海-闵行区  |  无工作经验  |  招1人  |  08-13发布,.net工程师（语音识别方向）
阔地教育科技有限公司,,1.5-3万/月,苏州  |  3-4年经验  |  硕士  |  招若干人  |  08-13发布,人工智能语音识别架构师
北京神州泰岳软件股份有限公司,"1）负责语音识别引擎的全部或者部分模块的核心算法实现、效果优化。,         2）负责产品级引擎封装等工作。,任职要求：,          1）具备深度学习相关基本知识和动手能力者优先。,          2）参与下列语音识别系统中至少一个模块的开发，2年以上经验：,             a）声学模型  b）语言模型 c）解码器(WFST) d）产品级引擎封装,          3）精通kaldi者优先，使用DNN/RNN/CNN等方法进行ASR实践者优先。",1.3-2.5万/月,北京  |  2年经验  |  本科  |  招1人  |  08-13发布,语音识别工程师-帝派
深圳市时代科技发展有限公司,"岗位职责:,1、负责语音识别/语音合成/声学前端处理方向前沿算法的研究和开发工作；,2、负责语音识别/语音合成/声学前端处理方向具体业务的效果定制优化和分析工作。,1.能够独立从事语音识别算法的研究和语音识别引擎的开发移植工作。,2.熟悉开源工具（如Kaldi，CMUSphinx），有大规模语音系统训练经验。,3.有算法研究背景经验，对语音识别有较深入理解, 熟悉相关算法（如DNN，GMM，RNN、CNN等深度学习算法）及其常用工具如Caffe、CNTK、TensorFlow等；。,4.在信号处理、声学建模、语言建模、深度学习等领域有较深入研究。,5.有丰富的C++开发经验， 熟练使用脚本语言。,任职资格:,1、 重点院校硕士及以上学历，计算机、信号处理、自动化等相关专业，具备一定的模式识别、语音相关方面的理论知识；,2、具备中英文学术论文的调研能力，有从事研究型项目的经历；,3、 具备较好的C、C++或python编程能力，有一定的代码开发经历；,满足以下条件的优先考虑：,1. 熟悉RNN、CNN等深度学习算法及其常用工具如Caffe、CNTK、TensorFlow等；,2. 有语音识别、语音合成等相关方向较丰富的实际系统研究和开发经验者；,3. 在语音相关领域会议或国内外知名比赛中获得过优秀成果者。,职能类别：软件工程师 算法工程师,期待您的加入~",1.5-2万/月,深圳-南山区  |  2年经验  |  硕士  |  招1人  |  08-13发布  |  计算机科学与技术 软件工程,语音识别工程师
上海巨灵信息技术股份有限公司,"岗位职责：, 1、负责项目或产品的系统的架构设计和系统设计、详细设计，研究引入新的技术、方法和编程思想；, 2、主导技术难题攻关，持续提升核心系统在高并发、海量请求数下的高处理性能；, 3、核心功能的架构与代码模板编写，开发与维护系统公用核心模块，建立和维护代码质量标准以及bug管理，保证代码的执行效率；, 4、审核和评估相关方案与设计，以确保其符合架构规划，满足业务需求。, , 任职要求：, 1、精通PHP+MYSQL编程，3年以上开发工作经验；, 2、熟悉数据库设计，有良好的编程习惯和简洁清晰的代码风格；, 3、熟悉jQuery, AJAX, HMTL，CSS等前端技术；, 4、精通LAMP架构的PHP开发， 熟悉OOP、框架、模板、缓存、优化等技术；, 5、熟悉Linux/Unix操作系统，掌握常用的基本配置和命令；, 6、有分布式缓存架构如 memcache, redis 经验者优先；, 7、熟悉yii,ci,thinkphp等其中一种MVC框架者优先。",300元/天,上海-虹口区  |  3-4年经验  |  大专  |  招5人  |  08-13发布,语音识别，声音辩声
北京北大软件工程股份有限公司,"岗位职责：,          1）负责产品语音识别引擎模块的核心算法实现、效果优化。,          2）语音识别相关产品的市场调研和技术洽谈,          3）对深度学习声学模型训练有深入实践，熟悉kaldi, CMU sphinx等工具,任职要求： ,          1）具备深度学习相关基本知识和动手能力者优先，熟悉相关开源工具；,          2）对语音识别有较深入理解, 熟悉相关算法（如DNN，GMM）；有大规模语音系统训练经验的优先,          3）具有信号处理、声学建模、语言建模等领域的相关知识,          4）熟练掌握Python/Matlab/C++，熟练使用脚本语言,          5）有大型公司语音开发经验者优先 (科大讯飞、云知声、盛大、捷通华声、搜狗语音助手、百度语音)",1.5-4万/月,北京-海淀区  |  2年经验  |  本科  |  招若干人  |  08-13发布,语音识别研发工程师
深圳市致宸区块链科技有限公司,3、熟悉语音识别开源工具，如Kaldi、TensorFlow等；,2-3.5万/月,深圳-南山区  |  无工作经验  |  招1人  |  08-13发布,语音识别算法工程师
北京三星通信技术研究有限公司,,1.5-2.5万/月,北京-朝阳区  |  无工作经验  |  招若干人  |  08-13发布,语音识别算法工程师
广州市积光电子有限公司,"岗位职责：,1、声学模型和语言模型训练开发和测试。,2、数据预处理、声学模型训练/优化、工具开发和语音识别相关结果分析, 语言模型开发/优化。,3、50%工作在工具开发，50%在语音识别模型训练和相关工作。,职位要求：,1.本科以上学历，计算机相关专业：计算机科学与技术/软件工程 (正规学校/专业，系统学习过编程课程),2.C#项目经验2年以上(文本处理，命令行应用程序，MVC)，独立开发过小工具者优先。（若无C#经历，c/c++/Java可视为同等编程能力，但需候选人可以接受学习使用C#编程）,3.有良好的英文书写，阅读能力和基本的口语表述能力。,4.踏实沉稳，有良好沟通能力。,5.有微软开发项目经历者优先。（非微软仅跑测试用例的测试项目经历）,6.熟悉Scope/Cosmos/AEther/Sangam/Stargate等优先。",0.5-1.5万/月,广州-番禺区  |  1年经验  |  本科  |  招1人  |  08-13发布  |  计算机科学与技术,语音识别开发工程师
普强信息技术（北京）有限公司,,1-2.5万/月,北京-海淀区  |  1年经验  |  硕士  |  招2人  |  07-31发布,语音识别算法工程师
达内时代科技集团有限公司,"工作职责：,1. 负责人工智能语音识别相关代码范例开发，参与人工智能课程的开发工作;,2. 参与相关视频课程的讲授录制工作,3. 参与人工智能相关支撑系统及教学管理系统设计与开发工作; ,任职资格：,1.本科以上学历，数学，物理，自动化，计算机专业； ,2.数学要求功底扎实，高等数学好，数学分析、泛函分析均要有一定熟练度；,3.熟悉Linux开发环境，熟悉Python/Java/R其中一门语言；,4.至少熟悉一类深度神经网络模型，如CNN、RNN、GAN等； ,5.熟练使用至少一种深度学习开源框架，如Caffe，tensorflow，pythorch等； ,6.熟悉语音识别技术，包括GMM、HMM、DNN等常用技术； ,7.熟悉语言信号处理者优先，包括降噪，VAD，音频特征提取等； ,8.具有良好的的表达能力、思维活跃，具有较强的承压能力，能适应出差；",2-3万/月,北京-海淀区  |  2年经验  |  本科  |  招1人  |  08-02发布,AI研发工程师-语音识别方向 (MJ003645)
深圳市木瓜电子科技有限公司,"语音识别模块产品和解决方案的售前讲解，根据客户需求推荐产品和设计方案，跟进项目进展和技术支持；,语音识别模块的售前演示、现场测试、技术交流与方案PK，售后应用与技术支持。,应聘条件,电子类相关专业，本科学历；,扎实的C语言、数字电路、电路分析等基础；,一年以上软硬件学习和实践经历，有成功的作品可供演示优先考虑；,外向型性格，良好的沟通与表达能力，良好的客户服务意识；,    ,   福利：, 底薪+项目奖金+年终奖金+社保+一年一度旅游+期权,比销售更懂技术，比研发更懂市场，选择推广工程师，成为复合型人才！",0.5-1.5万/月,深圳-福田区  |  1年经验  |  本科  |  招5人  |  08-02发布,FAE现场应用推广工程师（语音识别模块）
